"dup_threshold","ovrlp_threshold","all_cause_conc","all_cause_est","all_cause_lci","all_cause_uci","intl_injury_conc","intl_injury_est","intl_injury_lci","intl_injury_uci"
1,1,"20660 (9693 to 49885)",20660,9693,49885,"10991 (4315 to 35479)",10991,4315,35479
2,1,"21173 (9939 to 51005)",21173,9939,51005,"11239 (4425 to 36149)",11239,4425,36149
3,1,"21939 (10330 to 52649)",21939,10330,52649,"11606 (4606 to 37102)",11606,4606,37102
4,1,"23789 (11074 to 58093)",23789,11074,58093,"12364 (5091 to 40023)",12364,5091,40023
5,1,"23111 (12658 to 47380)",23111,12658,47380,"11469 (6953 to 23431)",11469,6953,23431
1,2,"23503 (10485 to 59789)",23503,10485,59789,"6156 (4139 to 9681)",6156,4139,9681
2,2,"24103 (10751 to 61230)",24103,10751,61230,"6259 (4212 to 9836)",6259,4212,9836
3,2,"25111 (11226 to 63570)",25111,11226,63570,"6783 (4558 to 10663)",6783,4558,10663
4,2,"26712 (11890 to 68440)",26712,11890,68440,"12926 (5307 to 41939)",12926,5307,41939
5,2,"27652 (13571 to 64215)",27652,13571,64215,"12294 (6966 to 27907)",12294,6966,27907
1,3,"49847 (15115 to 196550)",49847,15115,196550,"6935 (4494 to 11383)",6935,4494,11383
2,3,"50814 (15464 to 199261)",50814,15464,199261,"7010 (4537 to 11525)",7010,4537,11525
3,3,"52939 (16135 to 206539)",52939,16135,206539,"7611 (4887 to 12606)",7611,4887,12606
4,3,"52196 (16451 to 197923)",52196,16451,197923,"30747 (6723 to 276966)",30747,6723,276966
5,3,"47431 (17998 to 152874)",47431,17998,152874,"23919 (8046 to 159834)",23919,8046,159834
1,4,"30520 (16560 to 59704)",30520,16560,59704,"12488 (7111 to 23281)",12488,7111,23281
2,4,"62935 (17316 to 280387)",62935,17316,280387,"12568 (7182 to 23351)",12568,7182,23351
3,4,"64742 (17982 to 284309)",64742,17982,284309,"13519 (7727 to 25081)",13519,7727,25081
4,4,"64089 (18573 to 275528)",64089,18573,275528,"25609 (8584 to 169675)",25609,8584,169675
5,4,"63821 (21746 to 239012)",63821,21746,239012,"24788 (11415 to 100632)",24788,11415,100632
1,5,"144606 (37640 to 628962)",144606,37640,628962,"47745 (15763 to 163071)",47745,15763,163071
2,5,"146914 (38282 to 638955)",146914,38282,638955,"49291 (16217 to 168788)",49291,16217,168788
3,5,"157548 (41128 to 683428)",157548,41128,683428,"54222 (17612 to 187053)",54222,17612,187053
4,5,"174409 (46675 to 744284)",174409,46675,744284,"69870 (22875 to 237294)",69870,22875,237294
5,5,"211334 (56860 to 905843)",211334,56860,905843,"87263 (29683 to 285952)",87263,29683,285952
