"characteristic","category","private survey","public survey","social media","p_value"
"sex","female","454 (24.1%)","182 (31.1%)","341 (20.4%)","<0.001"
,"male","1006 (75.9%)","573 (68.8%)","1327 (79.4%)",
,"missing","2 (0.0%)","0 (0.1%)","4 (0.2%)",
"age (years)","0-14","51 (1.6%)","12 (3.5%)","89 (5.3%)","<0.001"
,"15-44","489 (31.3%)","236 (33.4%)","451 (27.0%)",
,"45+","536 (65.6%)","495 (36.7%)","205 (12.3%)",
,"missing","386 (1.6%)","12 (26.4%)","927 (55.4%)",
"location of death","Khartoum State","1011 (59.3%)","448 (69.2%)","1306 (78.1%)","<0.001"
,"other states","451 (40.7%)","307 (30.8%)","366 (21.9%)",
"year of death","2023","666 (70.7%)","534 (45.6%)","1024 (61.2%)","<0.001"
,"2024","780 (29.3%)","221 (53.4%)","630 (37.7%)",
,"missing","16 (0.0%)","0 (1.1%)","18 (1.1%)",
"member of resistance committees","no / unknown","1462 (100.0%)","755 (100.0%)","1194 (71.4%)","<0.001"
,"yes","0 (0.0%)","0 (0.0%)","478 (28.6%)",
"cause of death","intentional injury","556 (44.9%)","339 (38.0%)","976 (58.4%)","<0.001"
,"other","906 (55.1%)","416 (62.0%)","696 (41.6%)",
"total observations",,"1462","755","1672",
